Name,Draft Year,Height w/o Shoes,Height w/shoes,Weight,Wingspan,Reach,Body Fat,Hand Length,Hand Width,No Step Vert,No Step Vert Reach,Max Vert,Max Vert Reach,Bench,Agility,Sprint,Rank,Drafted
Zydrunas Ilgauskas ,1996,"7' 3""",NA,258,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20
Constantin Popa ,1995,"7' 2.5""",NA,217,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,53
Dikembe Mutombo ,1991,"7' 1.25""",NA,228,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4
Vlade Divac ,1989,"7' 1""",NA,248,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,26
Andrew Betts ,1998,"7' 0.75""",NA,257,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,50
Alexander Koul ,1998,"7' 0""",NA,285,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Greg Ostertag ,1995,"7' 0""",NA,279,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,28
Andrea Bargnani ,2006,"7' 0""","7' 1.25""",249,NA,"9' 2""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
Luther Wright ,1993,"7' 0""",NA,312,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Todd MacCulloch ,1999,"6' 11.75""","7' 1.5""",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,47
Jerome James ,1998,"6' 11.5""",NA,315,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,36
Raef LaFrentz ,1998,"6' 11.5""",NA,235,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3
Vin Baker ,1993,"6' 11.5""",NA,234,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8
Travis Knight ,1996,"6' 11.5""",NA,227,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,29
Steve Hamer ,1996,"6' 11.25""",NA,240,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,38
Brad Miller ,1998,"6' 11""",NA,255,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Robert Werdann ,1992,"6' 11""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,46
Kevin Garnett ,1995,"6' 11""",NA,217,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5
Stanley Roberts ,1991,"6' 11""",NA,293,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,23
Erick Dampier ,1996,"6' 11""",NA,268,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,10
Tim Duncan ,1997,"6' 11""",NA,249,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
Marcus Camby ,1996,"6' 11""",NA,223,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2
Peter Cornell ,1998,"6' 10.5""",NA,244,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Daniel Santiago ,1998,"6' 10.5""",NA,242,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Keon Clark ,1998,"6' 10.5""",NA,220,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,13
Sean Daugherty ,1998,"6' 10.5""",NA,237,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Elmore Spencer ,1992,"6' 10.5""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,25
Cherokee Parks ,1995,"6' 10.5""",NA,247,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,12
Yinka Dare ,1994,"6' 10.5""",NA,271,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,14
Eric Mobley ,1994,"6' 10.5""",NA,259,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Kelvin Cato ,1997,"6' 10.5""",NA,241,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,15
Nazr Mohammed ,1998,"6' 10""",NA,221,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,29
Jelani McCoy ,1998,"6' 10""",NA,245,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,33
Sean Marks ,1998,"6' 10""",NA,242,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,44
Brett Robisch ,1998,"6' 10""",NA,251,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Christian Laettner ,1992,"6' 10""",NA,239,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3
Pj Brown ,1992,"6' 10""",NA,225,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,29
Julius Michalik ,1995,"6' 10""",NA,222,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Sharone Wright ,1994,"6' 10""",NA,279,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6
Stacey King ,1989,"6' 10""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6
Randell Jackson ,1998,"6' 9.75""",NA,210,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Rasheed Wallace ,1995,"6' 9.75""",NA,230,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4
Russell Larson ,1995,"6' 9.75""",NA,219,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Horatio Llamas ,1996,"6' 9.75""",NA,282,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Mickey Curley ,1998,"6' 9.5""",NA,260,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Evan Wiley ,1998,"6' 9.5""",NA,256,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Tom Gugliotta ,1992,"6' 9.5""",NA,241,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6
Joe Smith ,1995,"6' 9.5""",NA,220,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
Antonio McDyess ,1995,"6' 9.5""",NA,230,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2
Alan Henderson ,1995,"6' 9.5""",NA,235,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,16
Loren Meyer ,1995,"6' 9.5""",NA,253,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,24
Erik Meek ,1995,"6' 9.5""",NA,243,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,41
Ed Stokes ,1993,"6' 9.5""",NA,256,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,35
Bison Dele ,1991,"6' 9.5""",NA,,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,10
Keith Van Horn ,1997,"6' 9.5""",NA,240,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2
Tim Thomas ,1997,"6' 9.5""",NA,240,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,7
Tony Battie ,1997,"6' 9.5""",NA,227,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5
Jahidi White ,1998,"6' 9""",NA,293,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,43
Pat Garrity ,1998,"6' 9""",NA,237,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,19
Brian Skinner ,1998,"6' 9""",NA,255,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,22
J.R. Henderson ,1998,"6' 9""",NA,226,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,56
Malcom Mackey ,1993,"6' 9""",NA,254,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,27
Conrad McRae ,1993,"6' 9""",NA,238,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,38
Austin Croshere ,1997,"6' 9""",NA,220,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,12
Pete Chilcutt ,1991,"6' 9""",NA,240,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,27
Cliff Robinson ,1989,"6' 9""",NA,223,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,11
Trey Lyles ,2014,"6' 9""","6' 10.25""",235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
Ryan Bowen ,1998,"6' 8.75""",NA,212,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,55
Steve Goodrich ,1998,"6' 8.75""",NA,239,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Don MacLean ,1992,"6' 8.75""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,19
Theo Ratliff ,1995,"6' 8.75""",NA,214,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Antoine Walker ,1996,"6' 8.75""",NA,234,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6
Alan Tomidy ,1996,"6' 8.75""",NA,252,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Walter McCarty ,1996,"6' 8.75""",NA,212,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,19
Shawn Kemp ,1989,"6' 8.75""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,17
Rashard Lewis ,1998,"6' 8.5""",NA,190,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,32
